应用包名,c.l.a
应用名称,闪电盒子
应用PID,9077
机器内存大小(MB),900.33MB
机器CPU型号, 64-bit ARMv8 Processor rev 0 (v7l)
Android系统版本,4.4.4
手机型号,Coolpad Y80D
UID,10157
时间,栈顶Activity名称,应用占用内存PSS(MB),应用占用内存比(%),机器剩余内存(MB),应用占用CPU率(%),CPU总使用率(%),cpu0总使用率(%),cpu1总使用率(%),cpu2总使用率(%),cpu3总使用率(%),流量(KB),电量(%),电流(mA),温度(C),电压(V),帧率
2019-11-18 02:26:20,ComponentInfo{c.l.a/c.l.a.video.smallvideo.SmallVideoActivity},131.48,14.60,122.97,32.05,72.79,79.46,73.59,70.29,67.71,367431,63,N/A,35.6,3.68,-1.0
2019-11-18 02:26:26,ComponentInfo{c.l.a/c.l.a.video.smallvideo.SmallVideoActivity},129.02,14.33,123.98,33.65,76.69,83.78,75.56,75.80,71.53,367435,63,N/A,35.6,3.68,-1.0
2019-11-18 02:26:32,ComponentInfo{c.l.a/c.l.a.video.smallvideo.SmallVideoActivity},131.25,14.58,121.98,32.69,77.96,80.67,77.06,75.08,79.04,367436,63,N/A,35.6,3.68,-1.0
2019-11-18 02:26:37,ComponentInfo{c.l.a/c.l.a.video.smallvideo.SmallVideoActivity},130.99,14.55,127.13,33.49,75.71,79.43,72.30,76.44,74.65,374170,63,N/A,35.6,3.68,-1.0
2019-11-18 02:26:43,ComponentInfo{c.l.a/c.l.a.video.smallvideo.SmallVideoActivity},131.49,14.60,122.76,33.81,75.16,79.46,73.98,73.32,73.76,375108,63,N/A,35.6,3.68,-1.0
2019-11-18 02:26:49,ComponentInfo{c.l.a/c.l.a.video.smallvideo.SmallVideoActivity},132.46,14.71,118.56,32.53,74.53,74.66,73.44,76.00,74.00,375108,63,N/A,35.6,3.68,-1.0
2019-11-18 02:26:55,ComponentInfo{c.l.a/c.l.a.video.smallvideo.SmallVideoActivity},119.08,13.23,126.94,30.36,72.62,76.07,71.01,72.02,71.21,375112,62,N/A,36.0,3.711,-1.0
2019-11-18 02:27:00,ComponentInfo{c.l.a/c.l.a.video.smallvideo.SmallVideoActivity},130.98,14.55,132.71,36.30,78.14,83.16,76.33,77.88,75.13,382624,62,N/A,36.0,3.711,-1.0
2019-11-18 02:27:06,ComponentInfo{c.l.a/c.l.a.video.smallvideo.SmallVideoActivity},131.29,14.58,123.52,36.01,79.17,80.63,77.17,78.84,79.93,382921,62,N/A,36.0,3.711,-1.0
2019-11-18 02:27:12,ComponentInfo{c.l.a/c.l.a.video.smallvideo.SmallVideoActivity},132.09,14.67,122.79,35.65,75.95,80.00,78.24,71.98,73.30,382922,62,N/A,36.0,3.711,-1.0
